Year;Italy;Europe;World
1990;0.083708573;0.459929045;1.735760697
1991;0.069231189;0.46440657;1.668108504
1992;0.067924433;0.464946016;1.572931255
1993;0.061135853;0.409672962;1.564552605
1994;0.020372074;0.290914769;1.520433972
1995;0.001588562;0.257511233;1.50599437
1996;0.028104408;0.259016399;1.452692776
1997;0.05290695;0.238594909;1.427187224
1998;0.028774016;0.210888852;1.391621003
1999;0.016820844;0.258239899;1.35169584
2000;0.045303631;0.328452396;1.323057118
2001;0.056167601;0.38501197;1.297603585
2002;0.148916429;0.489063834;1.276473949
2003;0.444507313;0.543190485;1.261517214
2004;0.647182705;0.55128365;1.254302559
2006;0.300559689;0.468263418;1.243707449
2007;0.504933687;0.520477005;1.235761509
2008;0.662469253;0.489880265;1.240879675
2009;0.45561345;0.324932135;1.221744457
2010;0.307591222;0.23574335;1.203308033
2011;0.171978291;-0.217707206;1.183293407
2012;0.26954124;0.220482905;1.220688639
2013;1.159251117;0.339991291;1.216571212
2014;0.917504096;0.343941814;1.203346951
2015;-0.096376133;0.303179468;1.18196469
2016;-0.169884073;0.292608835;1.168944982
2017;-0.149861117;0.216013924;1.15172221
2018;-0.19006364;0.223297039;1.107159243
2019;-1.153028424;0.088947815;1.065517405
2020;-0.469135388;0.124166424;1.04199019
