Year;Country;Birth_rate_per1000;Death_rate_per1000;Population_growth_pct;Population_total
1990;Asia;18.22598454;8.561300946;0.997357188;2663671187
1991;Asia;17.47035277;8.61395864;0.946543103;2693664812
1992;Asia;16.68561866;8.633686228;0.866139764;2721555197
1993;Asia;16.2430324;8.905005919;0.810137218;2748164393
1994;Asia;15.87582686;8.915400889;0.7403876;2773658808
1995;Asia;15.4375837;8.924005712;0.678645405;2797955405
1996;Asia;15.18622403;8.806597837;0.663673918;2822003275
1997;Asia;14.87533845;8.700571015;0.640283267;2845478644
1998;Asia;14.42406533;8.64615244;0.604198508;2868002005
1999;Asia;13.94025954;8.727315189;0.555537993;2888962098
2000;Asia;13.75904771;8.716263041;0.523730988;2908910162
2001;Asia;13.41314916;8.678684538;0.508283838;2928252027
2002;Asia;13.25977233;8.765116262;0.50899277;2947094150
2003;Asia;13.14614695;8.824363806;0.526036534;2965791525
2004;Asia;13.15969315;8.617214237;0.527370236;2984242278
2006;Asia;13.11284921;8.654857419;0.520914963;3020878392
2007;Asia;13.26149397;8.662796643;0.530196283;3039064332
2008;Asia;13.43034367;8.695218122;0.561702555;3058030782
2009;Asia;13.31321587;8.606818646;0.5438899;3076508255
2010;Asia;13.27558055;8.61453117;0.533502666;3094788935
2011;Asia;13.59462295;8.531139257;0.481254291;3112714326
2012;Asia;14.00596909;8.568568886;0.6022681;3134068515
2013;Asia;13.38925245;8.514484266;0.63131481;3155927013
2014;Asia;13.63342401;8.463869145;0.622193032;3177443861
2015;Asia;12.99711093;8.591683986;0.599403814;3198173489
2016;Asia;13.36787318;8.509883351;0.58343486;3218496227
2017;Asia;12.79772977;8.550688326;0.558509474;3238541159
2018;Asia;12.09347127;8.582004151;0.494117255;3256232942
2019;Asia;11.77635239;8.534154748;0.419754312;3271567085
2020;Asia;11.02688461;9.140726108;0.342842028;3284059653
1990;Italy;10;9.6;0.083708573;56719240
1991;Italy;9.9;9.7;0.069231189;56758521
1992;Italy;10;9.6;0.067924433;56797087
1993;Italy;9.7;9.7;0.061135853;56831821
1994;Italy;9.4;9.7;0.020372074;56843400
1995;Italy;9.2;9.8;0.001588562;56844303
1996;Italy;9.3;9.7;0.028104408;56860281
1997;Italy;9.4;9.8;0.05290695;56890372
1998;Italy;9.4;10;0.028774016;56906744
1999;Italy;9.4;9.8;0.016820844;56916317
2000;Italy;9.5;9.8;0.045303631;56942108
2001;Italy;9.4;9.6;0.056167601;56974100
2002;Italy;9.4;9.8;0.148916429;57059007
2003;Italy;9.5;10.2;0.444507313;57313203
2004;Italy;9.8;9.5;0.647182705;57685327
2006;Italy;9.6;9.6;0.300559689;58143979
2007;Italy;9.7;9.8;0.504933687;58438310
2008;Italy;9.8;9.9;0.662469253;58826731
2009;Italy;9.6;10;0.45561345;59095365
2010;Italy;9.5;9.9;0.307591222;59277417
2011;Italy;9.2;10;0.171978291;59379449
2012;Italy;9;10.3;0.26954124;59539717
2013;Italy;8.5;10;1.159251117;60233948
2014;Italy;8.3;9.8;0.917504096;60789140
2015;Italy;8;10.7;-0.096376133;60730582
2016;Italy;7.8;10.1;-0.169884073;60627498
2017;Italy;7.6;10.7;-0.149861117;60536709
2018;Italy;7.3;10.5;-0.19006364;60421760
2019;Italy;7;10.6;-1.153028424;59729081
2020;Italy;6.8;12.6;-0.469135388;59449527
1990;Europe;11.71514052;10.00462344;0.459929045;311262608
1991;Europe;11.37055201;9.976148592;0.46440657;312708132
1992;Europe;11.20003437;9.822827772;0.464946016;314162056
1993;Europe;10.93440889;9.950116767;0.409672962;315449093
1994;Europe;10.56535567;9.820338589;0.290914769;316366781
1995;Europe;10.43719392;9.842920474;0.257511233;317181461
1996;Europe;10.5175032;9.817478594;0.259016399;318003013
1997;Europe;10.56142962;9.712709304;0.238594909;318761752
1998;Europe;10.47400041;9.780369296;0.210888852;319433985
1999;Europe;10.47276838;9.74116757;0.258239899;320258891
2000;Europe;10.62807486;9.602727665;0.328452396;321310789
2001;Europe;10.39404262;9.479672566;0.38501197;322547874
2002;Europe;10.33469073;9.554744092;0.489063834;324125339
2003;Europe;10.3451744;9.758580945;0.543190485;325885957
2004;Europe;10.41977567;9.23096526;0.55128365;327682513
2006;Europe;10.3799827;9.231839425;0.468263418;330922785
2007;Europe;10.38322748;9.319782787;0.520477005;332645162
2008;Europe;10.55417879;9.400782978;0.489880265;334274725
2009;Europe;10.34271585;9.417976745;0.324932135;335360891
2010;Europe;10.35785545;9.420777363;0.23574335;336151482
2011;Europe;10.1638499;9.420008952;-0.217707206;335419656
2012;Europe;10.00026644;9.702832027;0.220482905;336159199
2013;Europe;9.736224667;9.665635101;0.339991291;337302111
2014;Europe;9.793105384;9.474874909;0.343941814;338462234
2015;Europe;9.663873136;10.06135138;0.303179468;339488382
2016;Europe;9.708074293;9.841718499;0.292608835;340481755
2017;Europe;9.480326043;10.11742239;0.216013924;341217243
2018;Europe;9.283651971;10.13832667;0.223297039;341979171
2019;Europe;9.1087708;10.04681177;0.088947815;342283354
2020;Europe;8.873871913;11.13548177;0.124166424;342708355
1990;North_america;16.52983405;8.46993852;1.174097295;277373464
1991;North_america;16.02028237;8.440211328;1.335375398;281077441
1992;North_america;15.63067286;8.340567965;1.375570372;284943859
1993;North_america;15.21084774;8.630946467;1.305104456;288662674
1994;North_america;14.83116648;8.631125879;1.220562725;292185983
1995;North_america;14.43124209;8.641234407;1.182149111;295640057
1996;North_america;14.20188043;8.641202757;1.158263205;299064347
1997;North_america;13.95289483;8.551736895;1.190077666;302623445
1998;North_america;14.01422425;8.462039292;1.138930594;306070116
1999;North_america;13.89543823;8.462455974;1.121460352;309502571
2000;North_america;14.03697913;8.362609242;1.100928819;312909974
2001;North_america;13.775943;8.362331299;1.004246352;316052361
2002;North_america;13.65581811;8.362035409;0.947888189;319048184
2003;North_america;13.75566865;8.27193515;0.867299091;321815286
2004;North_america;13.66549884;8.091555094;0.930473825;324809693
2006;North_america;13.96509696;7.991567608;0.973418076;331015609
2007;North_america;13.99473693;7.911231803;0.95751104;334185120
2008;North_america;13.74357082;8.011064921;0.963907968;337406357
2009;North_america;13.28250635;7.820846556;0.906830276;340466060
2010;North_america;12.81166293;7.896357327;0.860906958;343397156
2011;North_america;12.53088272;7.97619197;0.75429192;345987373
2012;North_america;12.44028612;8.001993262;0.771504745;348656682
2013;North_america;12.23982072;8.113495524;0.731728411;351207902
2014;North_america;12.3291778;8.143091031;0.763365512;353888902
2015;North_america;12.22920215;8.335712328;0.739847163;356507139
2016;North_america;12.03865535;8.382994925;0.768191349;359245796
2017;North_america;11.64796254;8.522828398;0.691849711;361731237
2018;North_america;11.44666597;8.578337686;0.618128813;363967202
2019;North_america;11.24533572;8.586936936;0.557163939;365995096
2020;North_america;10.7451969;10.07333007;0.985557194;369602187
1990;Latin_america;26.94723021;6.734275187;1.878469299;441855797
1991;Latin_america;26.44957815;6.630172624;1.836098124;449968703
1992;Latin_america;25.96580404;6.533256918;1.794078109;458041493
1993;Latin_america;25.49577257;6.442334925;1.75548048;466082322
1994;Latin_america;25.02886389;6.355914192;1.717994573;474089591
1995;Latin_america;24.56707585;6.279352264;1.68122105;482060085
1996;Latin_america;24.10837059;6.205220205;1.647579886;490002410
1997;Latin_america;23.64489117;6.134680182;1.609680042;497889881
1998;Latin_america;23.17912198;6.072775673;1.566052313;505687097
1999;Latin_america;22.71472837;6.016143502;1.518645432;513366691
2000;Latin_america;22.24734168;5.966465093;1.468109079;520903474
2001;Latin_america;21.77056216;5.926561094;1.416703164;528283130
2002;Latin_america;21.29658417;5.89440897;1.367875783;535509387
2003;Latin_america;20.83295567;5.872449727;1.3239992;542599527
2004;Latin_america;20.38626248;5.860611225;1.288455417;549590680
2006;Latin_america;19.55354039;5.859887115;1.227922593;563337657
2007;Latin_america;19.18452402;5.872183558;1.198894112;570091479
2008;Latin_america;18.84957504;5.890469398;1.173893006;576783743
2009;Latin_america;18.54588282;5.914132834;1.152299814;583430021
2010;Latin_america;18.26867239;5.942041898;1.114531095;589932530
2011;Latin_america;18.01731534;5.975443861;1.119708045;596538052
2012;Latin_america;17.77953718;6.013877494;1.099109098;603094656
2013;Latin_america;17.54923506;6.056136581;1.077965944;609595811
2014;Latin_america;17.32051157;6.105476326;1.050408301;615999056
2015;Latin_america;17.08870608;6.152441589;1.023051081;622301041
2016;Latin_america;16.85022181;6.209581751;0.995105679;628493594
2017;Latin_america;16.6043448;6.265302718;0.966192505;634566052
2018;Latin_america;16.36223184;6.320984202;0.932570373;640483827
2019;Latin_america;16.11524308;6.380561129;0.928647024;646431661
2020;Latin_america;15.86394592;6.443467091;0.917900431;652365260
1990;Africa;41.4560505;13.86895267;3.00914965;1273118877
1991;Africa;40.89956361;13.76563259;2.764911747;1308500206
1992;Africa;40.38995633;13.67054183;2.513469251;1342149517
1993;Africa;39.89086578;13.56686138;2.660005864;1378148624
1994;Africa;39.43426295;13.46286452;2.614344645;1414529117
1995;Africa;39.01449605;13.35426562;2.71677907;1452923541
1996;Africa;38.65330449;13.24767617;2.533030697;1490176717
1997;Africa;38.32379602;13.13244529;2.505431889;1528000393
1998;Africa;38.02124699;13.00124539;2.480342278;1566443125
1999;Africa;37.73767324;12.84855689;2.471331478;1605733394
2000;Africa;37.47788866;12.66841431;2.468449706;1645981957
2001;Africa;37.23469887;12.45492628;2.464825933;1687209242
2002;Africa;37.01483999;12.20785046;2.464648171;1729494668
2003;Africa;36.811267;11.92670963;2.475968271;1773041136
2004;Africa;36.6123754;11.50014189;2.501271558;1818109971
2006;Africa;36.22439008;10.92203898;2.567997056;1913436157
2007;Africa;36.02775018;10.56180394;2.595536705;1963746309
2008;Africa;35.82001721;10.20561764;2.612682418;2015714207
2009;Africa;35.59705871;9.862944007;2.617579851;2069194378
2010;Africa;35.35001221;9.540558755;2.60608741;2123968158
2011;Africa;35.06550573;9.240741409;2.59382085;2180034394
2012;Africa;34.74675736;8.961004347;2.58202024;2237420123
2013;Africa;34.38831337;8.701639509;2.565907257;2296047581
2014;Africa;33.9974317;8.465500934;2.546237518;2355841054
2015;Africa;33.57349812;8.254093809;2.523879276;2416738767
2016;Africa;33.12806873;8.065786998;2.49812052;2478676532
2017;Africa;32.6716583;7.900035539;2.471108033;2541624597
2018;Africa;32.21471823;7.753096223;2.447551005;2605613256
2019;Africa;31.76458974;7.624579204;2.424881302;2670625236
2020;Africa;31.32790253;5.47724003;2.402305047;2736635920
1990;World;25.87870079;9.225636968;1.735760697;5280062644
1991;World;25.21133245;9.161904286;1.668108504;5368139818
1992;World;24.5785773;9.077961838;1.572931255;5452576967
1993;World;24.18120437;\;1.564552605;5537885402
1994;World;23.80487594;9.009085825;1.520433972;5622085293
1995;World;23.36945847;8.954210255;1.50599437;5706753581
1996;World;23.08123956;8.846200828;1.452692776;5789655178
1997;World;22.75077752;8.742632427;1.427187224;5872284397
1998;World;22.33767708;8.660651569;1.391621003;5954004340
1999;World;21.91168366;8.622322546;1.35169584;6034484369
2000;World;21.65153881;8.549268999;1.323057118;6114324044
2001;World;21.30638215;8.472831398;1.297603585;6193663732
2002;World;21.05303934;8.434568514;1.276473949;6272724236
2003;World;20.83904676;8.380358928;1.261517214;6351855732
2004;World;20.68541562;8.241246288;1.254302559;6431527221
2006;World;20.39775655;8.141339886;1.243707449;6592711655
2007;World;20.30710105;8.074258616;1.235761509;6674181848
2008;World;20.19625896;8.024486493;1.240879675;6757000414
2009;World;19.96785143;7.911957054;1.221744457;6839553692
2010;World;19.77870117;7.848529547;1.203308033;6921854591
2011;World;19.85467053;7.767390559;1.183293407;7003760440
2012;World;19.95405818;7.713559109;1.220688639;7089254548
2013;World;19.45244784;7.648126181;1.216571212;7175500378
2014;World;19.46419186;7.587841344;1.203346951;7261846543
2015;World;18.95222527;7.584814166;1.18196469;7347679005
2016;World;19.07101724;7.534668621;1.168944982;7433569330
2017;World;18.66534705;7.531579411;1.15172221;7519183399
2018;World;18.14881146;7.526632663;1.107159243;7602432733
2019;World;17.87829381;7.502522619;1.065517405;7683437977
2020;World;17.33421502;7.705766477;1.04199019;7763498647
